global_rank,micronode_id,score,bairro,regional,faction,longitude,latitude,local_street_pressure,nearby_streets_count,nearby_streets
1,Sítios Novos- Caucaia,78.054,CAUCAIA,rmf,CV,-38.95021675,-3.7455504687499994,2.021,4,SÍTIOS NOVOS- CAUCAIA; RUA BOA ESPERANÇA; ESTRADA PARÁ AGRIVILA
2,Coité Pedreira,78.007,CAUCAIA,rmf,CV,-38.744439309523806,-3.7462188095238096,3.092,5,COITÉ PEDREIRA; TRAVESSA DO PROFESSOR; RUA MARIA DO PATROCÍNIO
3,Distrito de Matuões,77.703,CAUCAIA,interior,CV,-38.82523231428571,-3.588355628571428,2.151,5,RUA ANTONIO BRASILEIRO; RUA JOSÉ PAULINO ALVES; DISTRITO DE MATUÕES
4,Japuara- Caucaia,77.586,PARQUE SOLEDADE,rmf,CV,-38.747452042553206,-3.682344829787234,1.572,4,AVENIDA RAPOSO TAVARES; JAPUARA- CAUCAIA; RUA MARIA LUIZA SOARES
5,Primavera,77.152,CAUCAIA,rmf,CV,-38.82577786363637,-3.7108689090909093,2.793,4,PRIMAVERA; RUA VALESCA; RUA ANTÔNIO BRASILEIRO
6,Tanubapa,77.112,CAUCAIA,rmf,CV,-38.7704654054054,-3.6430006756756748,2.3,3,TANUBAPA; TRAVESSA JEOVÁ; RUA FCO. JEOVÁ DA MOTA
7,Taquara - Caucaia,76.862,URUCUTUBA,rmf,CV,-38.663501657142845,-3.822248923809524,0.964,2,RODOVIA RAIMUNDO PESSOA DE ARAÚJO; TAQUARA - CAUCAIA
8,Levada,76.804,MESSEJANA,capital,CV,-38.48783283333333,-3.8251020000000007,14.63,59,LEVADA; RUA DOUTOR JOAQUIM BENTO; RUA VICENTE NOBRE MACÊDO
9,Planalto Caucaia,76.777,PARQUE SOLEDADE,rmf,CV,-38.662789479999994,-3.7458330000000006,2.71,7,PLANALTO CAUCAIA; RUA 107; NOVA CIGANA
10,Planalto Caucaia,76.258,PARQUE SOLEDADE,rmf,CV,-38.6664246,-3.7444564999999996,2.516,7,AVENIDA CONTÔRNO NORTE; CONDOMÍNIO PABUSSU; RUA 107
11,Conjunto São Bernardo,76.16,MESSEJANA,capital,MASSA,-38.49008374999999,-3.8185046250000005,13.732,55,CONJUNTO SÃO BERNARDO; RUA CECÍLIA MEIRELES; RUA NICOLAU COELHO
12,João Cabral,76.154,JUAZEIRO DO NORTE,interior,CV,-39.31815930434783,-7.233151869565215,10.478,27,JOÃO CABRAL; RUA OZANA PEREIRA; RUA PIO NORÕES
13,Catuana,76.109,CAUCAIA,interior,CV,-38.91335163636364,-3.6866190606060605,3.209,5,CATUANA; RUA DA ESTACAO; RUA J
14,Mingau - Caucaia,76.094,CAUCAIA,rmf,CV,-38.737788392857134,-3.825179428571428,2.447,4,MINGAU - CAUCAIA; RUA MINGUAU; RUA ALTO DAS CAMPINAS
15,Boqueirão- Caucaia,75.46,CAUCAIA,rmf,CV,-38.766643676470586,-3.725872588235294,1.964,3,BOQUEIRÃO- CAUCAIA; RUA JOSÉ ROCHA CRISÓSTOMO; RUA MANOEL RODRIGUES DE LIMA
16,Comunidade da Portelinha- Messejana,75.382,MESSEJANA,capital,MASSA,-38.4925862,-3.818338,14.022,52,COMUNIDADE DA PORTELINHA- MESSEJANA; RUA NICOLAU COELHO; RUA VILAMAR DAMASCENO
17,Cipó - Caucaia,75.356,PARQUE SOLEDADE,rmf,CV,-38.69940679310345,-3.7020965517241384,1.993,4,CIPÓ - CAUCAIA; AVENIDA AMARO RODRIGUES DOS SANTOS; RUA JOSÉ ALVES BEZERRA
18,Comunidade da Conquista,75.011,MESSEJANA,capital,MASSA,-38.493964181818185,-3.8212205454545454,13.116,49,RUA LETÍCIA; COMUNIDADE DA CONQUISTA; RUA VILAMAR DAMASCENO
19,Beco da Maravilha,74.987,MESSEJANA,capital,CV,-38.488959,-3.8290662500000003,13.414,54,BECO DA MARAVILHA; RUA DOUTOR JOAQUIM BENTO; RUA SANTO EXPEDITO
